component	line	slot	tag	kind	anatomy	part	carried	missingTokens	unresolvedIdents
navigation-menu	106	navigation-menu-content	NavigationMenuPrimitive.Content	call:cn	NavigationMenuContent	NavigationMenuContent	yes	-	-
navigation-menu	111	navigation-menu-link	NavigationMenuPrimitive.Link	call:cn	NavigationMenuLink	NavigationMenuLink	yes	-	-
pagination	15	pagination	nav	call:cn	Pagination	(root)	yes	-	-
pagination	19	pagination-content	ul	call:cn	PaginationContent	PaginationContent	yes	-	-
pagination	29	pagination-link	a	call:cn	PaginationLink	PaginationLink	NO	[--ds-state-base:var(--primary)] text-primary-foreground [--ds-state-base:var(--destructive)] text-destructive-foreground focus-visible:ring-destructive [--ds-state-base:var(--background)] border shadow-xs [--ds-state-base:var(--secondary)] text-secondary-foreground text-link underline-offset-4 hover:underline px-4 h-6 px-2 text-xs has-[>svg]:px-1.5 [&_svg:not([class*='size-'])]:size-3 h-8 gap-1.5 px-3 has-[>svg]:px-2.5 h-10 px-6 has-[>svg]:px-4 size-6 size-8 size-10	-
pagination	33	-	PaginationLink	call:cn	-	-	yes	-	-
pagination	33	-	svg	literal	-	-	NO	size-4	-
pagination	33	-	span	literal	-	-	NO	hidden sm:block	-
pagination	37	-	PaginationLink	call:cn	-	-	yes	-	-
pagination	37	-	span	literal	-	-	NO	hidden sm:block	-
pagination	37	-	svg	literal	-	-	NO	size-4	-
pagination	41	pagination-ellipsis	span	call:cn	PaginationEllipsis	PaginationEllipsis	yes	-	-
pagination	41	-	svg	literal	-	-	NO	size-4	-
pagination	41	-	span	literal	-	-	NO	sr-only	-
popover	146	popover-content	PopoverPrimitive.Content	ident:contentClassName	PopoverContent	-	yes	-	-
popover	150	popover-content	PopoverPrimitive.Content	ident:contentClassName	PopoverContent	-	yes	-	-
popover	170	popover-header	div	call:cn	PopoverHeader	PopoverHeader	yes	-	-
popover	180	popover-title	div	call:cn	PopoverTitle	PopoverTitle	yes	-	-
popover	186	popover-description	p	call:cn	PopoverDescription	PopoverDescription	yes	-	-
progress	33	progress	ProgressPrimitive.Root	call:cn	Progress	(root)	yes	-	-
progress	34	progress-indicator	ProgressPrimitive.Indicator	call:cn	ProgressIndicator	ProgressIndicator	yes	-	-
progress	39	progress-label	span	call:cn	ProgressLabel	ProgressLabel	yes	-	-
progress	48	progress-value	span	call:cn	ProgressValue	ProgressValue	yes	-	-
radio-group	18	radio-group	RadioGroupPrimitive.Root	call:cn	RadioGroup	(root)	yes	-	-
radio-group	22	radio-group-item	RadioGroupPrimitive.Item	call:cn	RadioGroupItem	-	NO	state [--ds-state-base:var(--background)] size-4 shrink-0 rounded-full border shadow-xs focus-visible:border-focus-contrast focus-visible:ring-[3px] focus-visible:ring-ring disabled:cursor-not-allowed disabled:opacity-50 aria-invalid:border-destructive aria-invalid:ring-destructive/20 data-[state=checked]:[--ds-state-base:var(--primary)] data-[state=checked]:text-primary-foreground	-
radio-group	22	radio-group-indicator	RadioGroupPrimitive.Indicator	literal	Indicator	-	NO	justify-center text-[8px] leading-none	-
resizable	90	resizable-panel-group	ResizablePrimitive.Group	call:cn	ResizablePanelGroup	-	yes	-	-
resizable	101	resizable-panel	ResizablePrimitive.Panel	call:cn	ResizablePanel	ResizablePanel	yes	-	-
resizable	107	resizable-handle-grip	div	call:cn	ResizableHandleGrip	ResizableHandleGrip	yes	-	-
resizable	120	resizable-handle	ResizablePrimitive.Separator	call:cn	ResizableHandle	ResizableHandle	yes	-	-
scroll-area	44	scroll-area-viewport	ScrollAreaPrimitive.Viewport	call:cn	ScrollAreaViewport	-	NO	size-full rounded-[inherit] outline-none focus-visible:ring-[3px] focus-visible:ring-ring	-
scroll-area	48	scroll-area-thumb	ScrollAreaPrimitive.Thumb	call:cn	ScrollAreaThumb	ScrollAreaThumb	yes	-	-
scroll-area	52	scroll-area-scrollbar	ScrollAreaPrimitive.Scrollbar	call:cn	-	-	yes	-	-
scroll-area	58	scroll-area	ScrollAreaPrimitive.Root	call:cn	ScrollArea	(root)	yes	-	-
select	10	select	SelectPrimitive.Trigger	call:cn	Select	(root)	yes	-	-
select	11	select-content	SelectPrimitive.Content	call:cn	SelectContent	-	NO	z-50 max-h-60 min-w-32 overflow-auto bg-popover p-1 text-popover-foreground shadow-md	-
select	12	select-item	SelectPrimitive.Item	call:cn	SelectItem	-	NO	state [--ds-state-base:var(--popover)] relative cursor-default rounded-sm py-1.5 pr-8 pl-2 data-[disabled]:pointer-events-none data-[disabled]:opacity-50	-
